# time	 mass
# day	g
# %g	%g
80.1	2000
80.2	2000.14
80.3	2000.63
80.4	2001.55
80.5	2002.84
80.6	2004.26
80.7	2005.54
80.8	2006.48
80.9	2006.97
81	2007.1
81.1	2007.1
81.2	2007.24
81.3	2007.73
81.4	2008.67
81.5	2009.96
81.6	2011.38
81.7	2012.68
81.8	2013.61
81.9	2014.11
82	2014.24
82.1	2014.24
82.2	2014.38
82.3	2014.87
82.4	2015.81
82.5	2017.11
82.6	2018.54
82.7	2019.84
82.8	2020.78
82.9	2021.28
83	2021.42
83.1	2021.42
83.2	2021.56
83.3	2022.05
83.4	2023
83.5	2024.3
83.6	2025.74
83.7	2027.05
83.8	2027.99
83.9	2028.49
84	2028.63
84.1	2028.63
